DICひずみ,DIC応力
0.001372119,0.826919783
0.000548847,0.885985482
0.001097695,0.856452632
0.001372119,0.94505118
0.001646542,1.033649729
0.001097695,1.063182578
0.001920966,1.122248277
0.001920966,1.122248277
0.001097695,1.151781126
0.000823271,1.240379674
0.001920966,1.269912524
0.001097695,1.358511072
0.001097695,1.44710962
0.000823271,1.44710962
0.001646542,1.476642469
0.001920966,1.506175319
0.00219539,1.594773867
0.001920966,1.624306716
0.001646542,1.683372415
0.001920966,1.712905265
0.001920966,1.742438114
0.001920966,1.801503813
0.001920966,1.890102361
0.002744237,1.801503813
0.00219539,2.008233758
0.002744237,2.067299457
0.00219539,2.096832307
0.002744237,2.155898005
0.001920966,2.333095102
0.001646542,2.333095102
0.00219539,2.480759349
0.002744237,2.539825047
0.002744237,2.657956445
0.003018661,2.598890746
0.003018661,2.835153541
0.003018661,2.835153541
0.003018661,2.89421924
0.003018661,3.012350638
0.00219539,3.041883487
0.003018661,3.100949186
0.00219539,3.130482035
0.002469813,3.189547734
0.003293085,3.278146282
0.003293085,3.425810529
0.003841932,3.39627768
0.003293085,3.455343378
0.003018661,3.573474776
0.003018661,3.543941927
0.002469813,3.662073324
0.003293085,3.721139023
0.004116356,3.750671872
0.004390779,3.780204722
0.003567508,3.86880327
0.003293085,3.927868969
0.003018661,4.016467517
0.003293085,4.046000366
0.003841932,4.164131764
0.004116356,4.193664613
0.004390779,4.252730312
0.004390779,4.311796011
0.004116356,4.282263161
0.004665203,4.370861709
0.003841932,4.488993107
0.004116356,4.577591655
0.003841932,4.636657354
0.003841932,4.666190203
0.003841932,4.81385445
0.003841932,4.902452998
0.003841932,4.931985848
0.003841932,4.991051547
0.003841932,5.138715794
0.004390779,5.109182944
0.004390779,5.168248643
0.004116356,5.227314342
0.004390779,5.227314342
0.003841932,5.31591289
0.004665203,5.404511438
0.004665203,5.463577137
0.004665203,5.493109986
0.004939627,5.493109986
0.004665203,5.581708534
0.004116356,5.670307083
0.004116356,5.729372781
0.004665203,5.81797133
0.00521405,5.78843848
0.004939627,5.877037028
0.00521405,5.877037028
0.004116356,5.936102727
0.004116356,5.906569878
0.004116356,6.024701275
0.004390779,5.995168426
0.004665203,6.054234125
0.005488474,6.142832673
0.00521405,6.231431221
0.00521405,6.231431221
0.00521405,6.349562619
0.004939627,6.349562619
0.004665203,6.379095468
0.004665203,6.379095468
0.005488474,6.438161167
0.004939627,6.526759715
0.005488474,6.585825414
0.00521405,6.615358263
0.005488474,6.644891112
0.005762898,6.644891112
0.004665203,6.733489661
0.00521405,6.644891112
0.00521405,6.733489661
0.006311745,6.851621058
0.006037322,6.851621058
0.005488474,6.910686757
0.00521405,6.881153907
0.005488474,6.940219606
0.005488474,6.940219606
0.005488474,7.028818154
0.004939627,7.058351004
0.00521405,7.028818154
0.004939627,7.117416703
0.005488474,7.176482401
0.005762898,7.206015251
0.006037322,7.2355481
0.006311745,7.2355481
0.005762898,7.294613799
0.006311745,7.353679498
0.006037322,7.471810895
0.00521405,7.530876594
0.005488474,7.412745196
0.006037322,7.589942293
0.005488474,7.589942293
0.006037322,7.589942293
0.006311745,7.70807369
0.005488474,7.678540841
0.006311745,7.767139389
