No.,ïœà (1),â◊èd(1)
,mm,N
771,207.544,137
772,207.805,137.5
773,208.064,137.5
774,208.326,138
775,208.585,139
776,208.845,139.5
777,209.106,140.5
778,209.365,140.5
779,209.628,141
780,209.887,140.5
781,210.149,140
782,210.414,139.5
783,210.677,139
784,210.937,139
785,211.199,138.5
786,211.46,138.5
787,211.726,139
788,211.989,139
789,212.248,139.5
790,212.511,139.5
791,212.772,139.5
792,213.034,139.5
793,213.295,139.5
794,213.554,139.5
795,213.815,140
796,214.076,140
797,214.335,140.5
798,214.595,140.5
799,214.854,141
800,215.113,141.5
801,215.374,142
802,215.633,142.5
803,215.894,143
804,216.154,143.5
805,216.434,143.5
806,216.724,144
807,217.018,144
808,217.321,144
809,217.645,143.5
810,217.976,142.5
811,218.239,142
812,218.502,142
813,218.764,142
814,219.029,142
815,219.291,143
816,219.554,143.5
817,219.813,143.5
818,220.075,143.5
819,220.335,143.5
820,220.595,143.5
821,220.883,143.5
822,221.191,143
823,221.52,142.5
824,221.801,143
825,222.062,143.5
826,222.322,143.5
827,222.585,144
828,222.847,145
829,223.109,145
830,223.371,145.5
831,223.636,145.5
832,223.898,146
833,224.161,145.5
834,224.42,145.5
835,224.682,145.5
836,224.947,145.5
837,225.208,145.5
838,225.475,146
839,225.784,146.5
840,226.105,147
841,226.369,146.5
842,226.628,146.5
843,226.886,146.5
844,227.148,147
845,227.41,147
846,227.669,147.5
847,227.937,148
848,228.216,148.5
849,228.514,148.5
850,228.782,148.5
851,229.041,148.5
852,229.301,149
853,229.563,149
854,229.822,149
855,230.087,149
856,230.35,149
857,230.681,149
858,230.98,149
859,231.24,148.5
860,231.499,148.5
861,231.759,148.5
862,232.018,149
863,232.282,149.5
864,232.543,149.5
865,232.804,149.5
866,233.065,149.5
867,233.328,149
868,233.591,149
869,233.854,149.5
870,234.117,150
871,234.38,150
872,234.641,150
873,234.902,150.5
874,235.201,150.5
875,235.516,151
876,235.849,151
877,236.111,151
878,236.37,151
879,236.629,150.5
880,236.89,150
881,237.151,149.5
882,237.415,149.5
883,237.68,149.5
884,237.943,150
885,238.202,150
886,238.464,150
887,238.726,150
888,238.989,150.5
889,239.255,151
890,239.52,151
891,239.783,151.5
892,240.08,152
893,240.397,153
894,240.683,153.5
895,240.944,154
896,241.205,154
897,241.465,154
898,241.727,153.5
899,241.992,153.5
900,242.253,153.5
901,242.515,153.5
902,242.802,153
903,243.123,153
904,243.386,153
905,243.646,153
906,243.905,153
907,244.169,153
908,244.428,153.5
909,244.69,153.5
910,244.954,154
911,245.218,153.5
912,245.536,153.5
913,245.836,153.5
914,246.1,153.5
915,246.358,153.5
916,246.619,153.5
917,246.879,153.5
918,247.14,153.5
919,247.401,153
920,247.662,152.5
921,247.957,153
922,248.226,153
923,248.485,153.5
924,248.745,154
925,249.007,154.5
926,249.27,155
927,249.529,154.5
928,249.793,154.5
929,250.087,155
930,250.385,155
931,250.644,155.5
932,250.904,156
933,251.17,156.5
934,251.43,157
935,251.691,157.5
936,251.997,158
937,252.259,158.5
938,252.521,158.5
939,252.781,158
940,253.041,157.5
941,253.328,157
942,253.596,157
943,253.856,156.5
944,254.118,156.5
945,254.378,157
946,254.666,157
947,254.936,157
948,255.194,157
949,255.458,157
950,255.719,157.5
951,255.984,157.5
952,256.288,158
953,256.549,158
954,256.809,158
955,257.071,157.5
956,257.331,157.5
957,257.593,157.5
958,257.853,157.5
959,258.115,157.5
960,258.416,158
961,258.708,158.5
962,258.98,159
963,259.239,160
964,259.5,160.5
965,259.758,161
966,260.021,161.5
967,260.281,161.5
968,260.547,162
969,260.812,162
970,261.072,162
971,261.336,162.5
972,261.601,162.5
973,261.865,162.5
974,262.148,162
975,262.474,161
976,262.785,160.5
977,263.096,161
978,263.415,161.5
979,263.743,162
980,264.056,162.5
981,264.356,162.5
982,264.617,162.5
983,264.878,162
984,265.14,161.5
985,265.401,161.5
986,265.661,161.5
987,265.924,162
988,266.186,162.5
989,266.45,162.5
990,266.71,163
991,266.971,163.5
992,267.26,164
993,267.552,164
994,267.816,164
995,268.143,164.5
996,268.143,164.5
997,268.143,0
