番号,日付,時間,ms,CHU1-1,CHU1-2,CHU1-3,CHU1-4,CHU2-1,CHU2-2,CHU2-3,CHU2-4,CHU2-5,CHU2-6,CHU2-7,CHU2-8,CHU2-9,CHU2-10,AlarmU1,AlarmU2,AlarmOut,MarkEvent
NO.,Date,Time,ms," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V"," V","A1234567890","A1234567890","AO1234567890","Alarm/Info/x/User12345678"
39,2024-12-18,16:49:17,380,-0.007,-0.003,-0.003,-0.005,+0.01,+0.04,+0.01,+0.04,+0.03,+3.376,+0.010,+0.02,+0.03,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
40,2024-12-18,16:49:17,390,-0.006,-0.002,-0.001,-0.004,+0.03,+0.01,+0.03,+0.04,+0.03,+3.377,+0.011,+0.04,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
41,2024-12-18,16:49:17,400,-0.006,-0.001,-0.003,-0.004,+0.03,+0.03,+0.01,+0.06,+0.01,+3.377,+0.013,+0.01,-0.03,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
42,2024-12-18,16:49:17,410,-0.006,-0.001,-0.002,-0.006,+0.04,+0.01,+0.01,+0.05,+0.04,+3.376,+0.011,-0.01,+0.00,+0.04,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
43,2024-12-18,16:49:17,420,-0.005,-0.003,-0.002,-0.005,+0.04,+0.01,+0.03,+0.03,+0.04,+3.373,+0.011,+0.02,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
44,2024-12-18,16:49:17,430,-0.006,-0.002,-0.003,-0.004,+0.01,+0.03,+0.00,+0.04,+0.01,+3.376,+0.011,+0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
45,2024-12-18,16:49:17,440,-0.006,-0.000,-0.002,-0.005,+0.05,+0.04,+0.01,+0.04,+0.04,+3.376,+0.011,+0.00,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
46,2024-12-18,16:49:17,450,-0.008,-0.002,-0.002,-0.006,+0.04,+0.04,+0.03,+0.03,+0.03,+3.374,+0.011,+0.01,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
47,2024-12-18,16:49:17,460,-0.006,-0.003,-0.004,-0.004,+0.01,+0.01,+0.00,+0.06,+0.04,+3.376,+0.009,+0.01,+0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
48,2024-12-18,16:49:17,470,-0.006,-0.001,-0.002,-0.004,+0.02,+0.03,+0.02,+0.04,+0.01,+3.373,+0.011,+0.04,+0.00,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
49,2024-12-18,16:49:17,480,-0.005,+0.001,-0.003,-0.006,+0.04,+0.01,-0.01,+0.06,+0.06,+3.373,+0.013,+0.05,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
50,2024-12-18,16:49:17,490,-0.006,-0.003,-0.005,-0.005,+0.02,+0.04,-0.01,+0.04,+0.04,+3.374,+0.013,-0.01,-0.03,-0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
51,2024-12-18,16:49:17,500,-0.005,-0.001,-0.001,-0.003,+0.03,+0.01,+0.01,+0.04,+0.04,+3.376,+0.013,+0.04,-0.01,+0.02,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
52,2024-12-18,16:49:17,510,-0.005,-0.002,-0.002,-0.005,+0.03,+0.04,+0.01,+0.07,+0.03,+3.375,+0.009,+0.04,+0.01,+0.03,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
53,2024-12-18,16:49:17,520,-0.006,-0.001,-0.003,-0.004,+0.01,+0.03,+0.02,+0.04,+0.04,+3.377,+0.011,+0.01,-0.01,+0.01,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLLL
