DICひずみ,DIC応力Mpa,ひずみ,応力,,,
0.000889944,0.339003945,2.069,23.42209073,,,
0.001483239,0.400641026,2.0954,23.11390533,,,
0.001483239,0.339003945,2.1218,23.26799803,,,
0.000889944,0.369822485,2.148,23.26799803,,,
0.001186592,0.277366864,2.1743,23.26799803,,,
0.000593296,0.308185404,2.2006,23.26799803,,,
0.001483239,0.339003945,2.2269,23.26799803,,,
0.001483239,0.339003945,2.2534,23.11390533,,,
0.000889944,0.308185404,2.2795,23.26799803,,,
0.000593296,0.339003945,2.3057,23.26799803,,,
0.001483239,0.308185404,2.3317,23.42209073,,,
0.002669831,0.339003945,2.3584,23.42209073,,,
0.001483239,0.339003945,2.3845,23.42209073,,,
0.000889944,0.400641026,2.4105,23.42209073,,,
0.000889944,0.400641026,2.4364,23.26799803,,,
0.000593296,0.339003945,2.4625,23.42209073,,,
0.001483239,0.339003945,2.4887,23.42209073,,,
0.001186592,0.400641026,2.5148,23.42209073,,,
0.000889944,0.308185404,2.5407,23.42209073,,,
0.001186592,0.308185404,2.5668,23.42209073,,,
0.001483239,0.339003945,2.5927,23.42209073,,,
0.000889944,0.339003945,2.6187,23.42209073,,,
0.001483239,0.339003945,2.6446,23.42209073,,,
0.000593296,0.369822485,2.6704,23.42209073,,,
0.001483239,0.400641026,2.6963,23.42209073,,,
0.000889944,0.339003945,2.7222,23.26799803,,,
0.001483239,0.339003945,2.7482,23.42209073,,,
0.000593296,0.308185404,2.7742,23.26799803,,,
0.001779887,0.339003945,2.8002,23.42209073,,,
0.001483239,0.400641026,2.8263,23.26799803,,,
0.001483239,0.400641026,2.8522,23.26799803,,,
0.002076535,0.431459566,2.8784,23.26799803,,,
0.001779887,0.400641026,2.9045,23.26799803,,,
0.001483239,0.277366864,2.9305,23.26799803,,,
0.002076535,0.339003945,2.9567,23.26799803,,,
0.000889944,0.339003945,2.9827,23.42209073,,,
0.001483239,0.339003945,3.0087,23.42209073,,,
0.001483239,0.400641026,3.0349,23.26799803,,,
0.001186592,0.369822485,3.0609,23.26799803,,,
0.001186592,0.339003945,3.0882,23.26799803,,,
0.002076535,0.308185404,3.1175,23.26799803,,,
0.001483239,0.339003945,3.146,23.26799803,,,
0.001483239,0.339003945,3.1747,23.42209073,,,
0.001483239,0.277366864,3.2044,23.42209073,,,
0.001779887,0.308185404,3.2351,23.26799803,,,
0.000593296,0.339003945,3.2667,23.57618343,1.968851973,23.57618343,1.297848027
0.001483239,0.339003945,3.2983,23.73027613,2.000451973,23.73027613,
0.001483239,0.277366864,3.3298,23.42209073,2.031951973,23.42209073,
0.001779887,0.339003945,3.3626,23.26799803,2.064751973,23.26799803,
0.001779887,0.339003945,3.3915,23.26799803,2.093651973,23.26799803,
0.001779887,0.277366864,3.4215,23.26799803,2.123651973,23.26799803,
0.001186592,0.400641026,3.4526,23.26799803,2.154751973,23.26799803,
0.001186592,0.308185404,3.4835,23.26799803,2.185651973,23.26799803,
0.001186592,0.308185404,3.5152,23.42209073,2.217351973,23.42209073,
0.000593296,0.339003945,3.5464,23.57618343,2.248551973,23.57618343,
0.001483239,0.339003945,3.5765,23.42209073,2.278651973,23.42209073,
0.001483239,0.339003945,3.6052,23.42209073,2.307351973,23.42209073,
0.001186592,0.339003945,3.6368,23.42209073,2.338951973,23.42209073,
0.000593296,0.339003945,3.6662,23.42209073,2.368351973,23.42209073,
0.001186592,0.369822485,3.6948,23.42209073,2.396951973,23.42209073,
0.001483239,0.369822485,3.725,23.42209073,2.427151973,23.42209073,
0.001779887,0.339003945,3.7538,23.57618343,2.455951973,23.57618343,
0.000889944,0.400641026,3.7812,23.57618343,2.483351973,23.57618343,
0.001483239,0.339003945,3.8071,23.57618343,2.509251973,23.57618343,
0.000889944,0.369822485,3.8331,23.73027613,2.535251973,23.73027613,
0.000889944,0.277366864,3.859,23.73027613,2.561151973,23.73027613,
0.000593296,0.339003945,3.8849,23.73027613,2.587051973,23.73027613,
0.001483239,0.339003945,3.9109,23.57618343,2.613051973,23.57618343,
0.000889944,0.277366864,3.9368,23.57618343,2.638951973,23.57618343,
0.000889944,0.339003945,3.9629,23.57618343,2.665051973,23.57618343,
0.000593296,0.400641026,3.9889,23.57618343,2.691051973,23.57618343,
0.001779887,0.339003945,4.0149,23.73027613,2.717051973,23.73027613,
0.001186592,0.400641026,4.041,23.73027613,2.743151973,23.73027613,
0.001483239,0.277366864,4.067,23.88436884,2.769151973,23.88436884,
0.000593296,0.400641026,4.093,23.88436884,2.795151973,23.88436884,
0.000889944,0.339003945,4.1192,23.88436884,2.821351973,23.88436884,
0.000296648,0.277366864,4.1453,23.73027613,2.847451973,23.73027613,
0.001483239,0.339003945,4.1713,23.57618343,2.873451973,23.57618343,
0.001483239,0.339003945,4.1974,23.57618343,2.899551973,23.57618343,
0.002076535,0.339003945,4.2234,23.57618343,2.925551973,23.57618343,
0.001779887,0.277366864,4.2494,23.73027613,2.951551973,23.73027613,
0.001779887,0.277366864,4.2755,23.73027613,2.977651973,23.73027613,
0.001186592,0.339003945,4.3015,23.88436884,3.003651973,23.88436884,
0.000593296,0.339003945,4.3275,23.88436884,3.029651973,23.88436884,
0.001186592,0.339003945,4.3533,23.88436884,3.055451973,23.88436884,
0.001483239,0.339003945,4.3793,23.88436884,3.081451973,23.88436884,
0.000889944,0.339003945,4.4053,23.88436884,3.107451973,23.88436884,
0.001483239,0.339003945,4.4312,23.73027613,3.133351973,23.73027613,
0.000593296,0.339003945,4.4572,23.73027613,3.159351973,23.73027613,
0.001186592,0.400641026,4.4832,23.73027613,3.185351973,23.73027613,
0.000889944,0.400641026,4.5093,23.73027613,3.211451973,23.73027613,
0.000889944,0.339003945,4.5354,23.88436884,3.237551973,23.88436884,
0.000889944,0.369822485,4.5612,23.88436884,3.263351973,23.88436884,
0.000889944,0.277366864,4.5872,23.88436884,3.289351973,23.88436884,
0.000889944,0.400641026,4.6131,23.88436884,3.315251973,23.88436884,
0.000889944,0.339003945,4.6391,24.03846154,3.341251973,24.03846154,
0.000889944,0.277366864,4.6654,24.03846154,3.367551973,24.03846154,
0.001186592,0.339003945,4.6918,24.03846154,3.393951973,24.03846154,
0.001186592,0.339003945,4.7183,24.03846154,3.420451973,24.03846154,
0.001186592,0.339003945,4.7444,24.19255424,3.446551973,24.19255424,
0.001483239,0.339003945,4.771,24.34664694,3.473151973,24.34664694,
0.000889944,0.400641026,4.7977,24.34664694,3.499851973,24.34664694,
0.000296648,0.339003945,4.8268,24.50073964,3.528951973,24.50073964,
0.001186592,0.277366864,4.8552,24.34664694,3.557351973,24.34664694,
0.001483239,0.400641026,4.882,24.34664694,3.584151973,24.34664694,
0.000889944,0.339003945,4.908,24.50073964,3.610151973,24.50073964,
0.001186592,0.339003945,4.9339,24.34664694,3.636051973,24.34664694,
0.001186592,0.400641026,4.9599,24.34664694,3.662051973,24.34664694,
0.001483239,0.277366864,4.9861,24.34664694,3.688251973,24.34664694,
