No.,ïœà (1),â◊èd(1)
,mm,N
939,111.561,104.5
940,111.676,104
941,111.791,104.5
942,111.906,104
943,112.022,104
944,112.136,104.5
945,112.25,104.5
946,112.365,104.5
947,112.481,104.5
948,112.595,104.5
949,112.71,104.5
950,112.829,104.5
951,112.944,105
952,113.058,105
953,113.173,105.5
954,113.29,105.5
955,113.405,106
956,113.519,105.5
957,113.636,105.5
958,113.751,105.5
959,113.866,105.5
960,113.983,105.5
961,114.098,105.5
962,114.214,105.5
963,114.328,105.5
964,114.445,106
965,114.561,106
966,114.676,106
967,114.79,106
968,114.906,106.5
969,115.034,106.5
970,115.178,107
971,115.33,107
972,115.465,107
973,115.589,107
974,115.72,107
975,115.835,106.5
976,115.949,106.5
977,116.063,106.5
978,116.179,106
979,116.294,106
980,116.409,106
981,116.524,105.5
982,116.639,105.5
983,116.754,105
984,116.872,104.5
985,116.989,103
986,117.106,100
987,117.127,55
988,117.127,0
